,instant,Date of the ride,season,holiday,weekday,Weather situation,temp,atemp,Relative humidity,windspeed,Non-registered user rentals,Registered user rentals,Total Rentals
334,335,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,59 %,0.1642,2,57,59
335,336,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.197,55 %,0.2239,18,54,72
336,337,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,48 %,0.2239,15,74,89
337,338,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2576,38 %,0.2985,21,80,101
338,339,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2879,39 %,0.2836,26,92,118
339,340,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.3182,36 %,0.194,21,108,129
340,341,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 34 degree celsius,0.3333,34 %,0.194,33,95,128
341,342,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.303,36 %,0.2836,29,54,83
342,343,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.2879,45 %,0.2537,15,69,84
343,344,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.303,39 %,0.2537,14,60,74
344,345,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.303,39 %,0.2537,6,35,41
345,346,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.303,39 %,0.2239,6,51,57
346,347,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.3182,42 %,0.1045,0,26,26
347,348,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2879,45 %,0.2836,5,39,44
348,349,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.303,56 %,0.0,6,33,39
349,350,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2727,56 %,0.1343,4,19,23
350,351,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2879,56 %,0.0896,3,13,16
351,352,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2727,69 %,0.0,9,6,15
352,353,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,56 %,0.1642,0,1,1
353,354,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 26 degree celsius,0.2576,56 %,0.1642,1,1,2
354,355,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 26 degree celsius,0.2576,56 %,0.1642,0,1,1
355,356,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2121,56 %,0.2985,0,3,3
356,357,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,55 %,0.2836,0,18,18
357,358,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,51 %,0.2537,3,29,32
358,359,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,51 %,0.2836,8,71,79
359,360,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,44 %,0.2537,23,70,93
360,361,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2121,41 %,0.2836,29,75,104
361,362,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,35 %,0.2985,23,95,118
362,363,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2727,36 %,0.2537,22,69,91
363,364,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2424,38 %,0.2537,35,78,113
364,365,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,38 %,0.2239,22,77,99
365,366,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,37 %,0.2537,23,82,105
366,367,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2121,40 %,0.1642,11,56,67
367,368,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,47 %,0.1343,14,47,61
368,369,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,47 %,0.1642,7,50,57
369,370,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,51 %,0.1642,6,22,28
370,371,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,49 %,0.1343,2,19,21
371,372,16-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2273,40 %,0.1045,0,18,18
372,373,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,47 %,0.2239,1,16,17
373,374,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,44 %,0.194,1,15,16
374,375,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.1667,43 %,0.2537,0,8,8
375,376,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.1818,43 %,0.194,0,2,2
376,377,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,43 %,0.1343,1,2,3
377,378,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,43 %,0.1642,0,1,1
378,379,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.1818,43 %,0.194,0,5,5
379,380,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1818,50 %,0.1343,4,9,13
380,381,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,47 %,0.2239,3,30,33
381,382,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,47 %,0.2239,8,39,47
382,383,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,50 %,0.2537,7,50,57
383,384,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,55 %,0.194,9,55,64
384,385,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,47 %,0.1343,10,70,80
385,386,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,47 %,0.1343,13,80,93
386,387,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.2121,43 %,0.1045,12,74,86
387,388,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,47 %,0.1642,21,72,93
388,389,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,47 %,0.1642,6,76,82
389,390,17-01-2011,Spring,Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.197,51 %,0.194,4,67,71
390,391,17-01-2011,Spring,Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.1667,55 %,0.2537,7,85,92
391,392,17-01-2011,Spring,Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 18 degree celsius,0.1818,59 %,0.194,2,58,60
392,393,17-01-2011,Spring,Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1515,80 %,0.194,4,29,33
393,394,17-01-2011,Spring,Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1515,80 %,0.194,3,24,27
394,395,17-01-2011,Spring,Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 14 degree celsius,0.1212,93 %,0.2537,0,13,13
395,396,17-01-2011,Spring,Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1364,86 %,0.2836,1,3,4
396,397,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,86 %,0.3284,0,3,3
397,398,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,86 %,0.2239,0,22,22
398,399,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,80 %,0.1642,2,26,28
399,400,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,87 %,0.1642,3,32,35
400,401,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,87 %,0.194,0,61,61
401,402,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,82 %,0.194,1,124,125
402,403,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,80 %,0.1642,1,132,133
403,404,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2273,80 %,0.1343,1,98,99
404,405,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2727,87 %,0.0,0,83,83
405,406,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2424,93 %,0.1045,0,41,41
406,407,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2576,93 %,0.0896,0,33,33
407,408,18-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2727,93 %,0.0,1,19,20
408,409,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2727,93 %,0.0,0,3,3
409,410,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 22 degree celsius,0.2273,93 %,0.1343,1,6,7
410,411,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 22 degree celsius,0.2273,93 %,0.1343,0,3,3
411,412,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 22 degree celsius,0.2273,93 %,0.1343,1,1,2
412,413,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2576,93 %,0.0896,0,7,7
413,414,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2576,93 %,0.0896,0,32,32
414,415,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2576,92 %,0.1045,1,89,90
416,417,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2576,93 %,0.1045,2,107,109
417,418,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 26 degree celsius,0.2727,93 %,0.1343,1,46,47
418,419,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 28 degree celsius,0.303,87 %,0.0896,5,47,52
419,420,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.3182,81 %,0.0896,5,65,70
420,421,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 40 degree celsius,0.4091,62 %,0.2836,11,67,78
421,422,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 40 degree celsius,0.4091,57 %,0.2537,7,68,75
422,423,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 40 degree celsius,0.4091,54 %,0.2836,4,78,82
423,424,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 38 degree celsius,0.3939,57 %,0.3881,10,94,104
425,426,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 34 degree celsius,0.3182,61 %,0.2836,5,156,161
426,427,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 32 degree celsius,0.2879,56 %,0.4179,4,108,112
427,428,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 32 degree celsius,0.303,49 %,0.2985,2,74,76
428,429,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 32 degree celsius,0.2879,49 %,0.4179,4,55,59
429,430,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.303,52 %,0.1642,6,53,59
430,431,19-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2727,52 %,0.4627,1,27,28
431,432,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,56 %,0.3881,5,8,13
432,433,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2727,56 %,0.0,2,3,5
433,434,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2727,56 %,0.0,0,2,2
434,435,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,56 %,0.1642,0,1,1
435,436,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,56 %,0.1642,0,1,1
436,437,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,60 %,0.2239,0,6,6
437,438,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,60 %,0.2239,0,35,35
438,439,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,55 %,0.2239,1,100,101
440,441,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2273,52 %,0.2239,3,140,143
441,442,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,48 %,0.2985,1,56,57
442,443,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 28 degree celsius,0.2727,45 %,0.1642,5,63,68
443,444,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.3333,42 %,0.0,7,77,84
444,445,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 28 degree celsius,0.2879,45 %,0.1045,12,86,98
445,446,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.303,45 %,0.1343,6,75,81
446,447,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 32 degree celsius,0.3182,45 %,0.194,8,62,70
447,448,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 30 degree celsius,0.303,49 %,0.1343,8,83,91
450,451,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,56 %,0.3284,6,146,152
451,452,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 26 degree celsius,0.2424,60 %,0.2836,2,124,126
452,453,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2273,60 %,0.2537,3,54,57
453,454,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2121,65 %,0.2836,0,56,56
454,455,20-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2121,65 %,0.3284,3,28,31
455,456,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2273,70 %,0.2537,1,20,21
456,457,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 24 degree celsius,0.2273,70 %,0.2537,0,6,6
457,458,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 24 degree celsius,0.2424,75 %,0.1642,0,2,2
458,459,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 22 degree celsius,0.2121,80 %,0.2985,0,1,1
459,460,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2576,87 %,0.0896,0,1,1
460,461,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.197,60 %,0.4179,1,4,5
461,462,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,55 %,0.2537,0,27,27
462,463,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,51 %,0.2836,2,66,68
464,465,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,51 %,0.3582,7,159,166
465,466,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,47 %,0.4627,6,57,63
466,467,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.1818,41 %,0.4627,6,53,59
467,468,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.1818,27 %,0.5821,11,67,78
468,469,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1515,21 %,0.5821,8,65,73
469,470,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1515,25 %,0.5224,6,56,62
470,471,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1212,26 %,0.4478,4,61,65
471,472,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,26 %,0.3582,0,97,97
472,473,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,28 %,0.3582,10,151,161
473,474,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,30 %,0.2537,1,119,120
474,475,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1061,30 %,0.3284,3,93,96
475,476,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0758,33 %,0.4179,1,52,53
476,477,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 8 degree celsius,0.0758,38 %,0.2836,0,41,41
477,478,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 6 degree celsius,0.0303,41 %,0.3881,1,33,34
478,479,21-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 6 degree celsius,0.0455,38 %,0.3284,0,27,27
479,480,22-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 4 degree celsius,0.0303,45 %,0.2537,0,13,13
480,481,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 4 degree celsius,0.0,41 %,0.3881,3,9,12
481,482,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 4 degree celsius,0.0303,41 %,0.2537,0,11,11
482,483,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 4 degree celsius,0.0303,41 %,0.2836,1,6,7
483,484,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 2 degree celsius,0.0152,48 %,0.2985,0,3,3
484,485,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 2 degree celsius,0.0303,44 %,0.2239,0,2,2
485,486,22-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 2 degree celsius,0.0152,44 %,0.2836,0,8,8
486,487,22-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 2 degree celsius,0.0,44 %,0.3284,1,26,27
487,488,22-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 4 degree celsius,0.0303,41 %,0.2537,3,37,40
488,489,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 4 degree celsius,0.0606,41 %,0.1642,3,50,53
489,490,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 6 degree celsius,0.0758,38 %,0.1343,4,59,63
490,491,22-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 6 degree celsius,0.1061,38 %,0.1045,10,60,70
